Category,State,Year,Value
Aggregate_Expenditure,Andhra Pradesh ,1980-81,1610
Aggregate_Expenditure,Andhra Pradesh ,1981-82,1831
Aggregate_Expenditure,Andhra Pradesh ,1982-83,1933
Aggregate_Expenditure,Andhra Pradesh ,1983-84,2588
Aggregate_Expenditure,Andhra Pradesh ,1984-85,3119
Aggregate_Expenditure,Andhra Pradesh ,1985-86,3413
Aggregate_Expenditure,Andhra Pradesh ,1986-87,4068
Aggregate_Expenditure,Andhra Pradesh ,1987-88,4294
Aggregate_Expenditure,Andhra Pradesh ,1988-89,5223
Aggregate_Expenditure,Andhra Pradesh ,1989-90,5768
Aggregate_Expenditure,Andhra Pradesh ,1990-91,6581
Aggregate_Expenditure,Andhra Pradesh ,1991-92,7758
Aggregate_Expenditure,Andhra Pradesh ,1992-93,8984
Aggregate_Expenditure,Andhra Pradesh ,1993-94,10541
Aggregate_Expenditure,Andhra Pradesh ,1994-95,12459
Aggregate_Expenditure,Andhra Pradesh ,1995-96,14301
Aggregate_Expenditure,Andhra Pradesh ,1996-97,16265
Aggregate_Expenditure,Andhra Pradesh ,1997-98,17745
Aggregate_Expenditure,Andhra Pradesh ,1998-99,21958
Aggregate_Expenditure,Andhra Pradesh ,1999-00,22767
Aggregate_Expenditure,Andhra Pradesh ,2000-01,28119
Aggregate_Expenditure,Andhra Pradesh ,2001-02,31074
Aggregate_Expenditure,Andhra Pradesh ,2002-03,34373
Aggregate_Expenditure,Andhra Pradesh ,2003-04,40120
Aggregate_Expenditure,Andhra Pradesh ,2004-05,47153
Aggregate_Expenditure,Andhra Pradesh ,2005-06,48306
Aggregate_Expenditure,Andhra Pradesh ,2006-07,56648
Aggregate_Expenditure,Andhra Pradesh ,2007-08,74875
Aggregate_Expenditure,Andhra Pradesh ,2008-09,80804
Aggregate_Expenditure,Andhra Pradesh ,2009-10,85075
Aggregate_Expenditure,Andhra Pradesh ,2010-11,100636
Aggregate_Expenditure,Andhra Pradesh ,2011-12,115882
Aggregate_Expenditure,Andhra Pradesh ,2012-13,129441
Aggregate_Expenditure,Andhra Pradesh ,2013-14,136629
Aggregate_Expenditure,Andhra Pradesh ,2014-15,111067
Aggregate_Expenditure,Andhra Pradesh ,2015-16,112049
Aggregate_Expenditure,Arunachal Pradesh,1980-81,0
Aggregate_Expenditure,Arunachal Pradesh,1981-82,0
Aggregate_Expenditure,Arunachal Pradesh,1982-83,0
Aggregate_Expenditure,Arunachal Pradesh,1983-84,0
Aggregate_Expenditure,Arunachal Pradesh,1984-85,0
Aggregate_Expenditure,Arunachal Pradesh,1985-86,0
Aggregate_Expenditure,Arunachal Pradesh,1986-87,251
Aggregate_Expenditure,Arunachal Pradesh,1987-88,348
Aggregate_Expenditure,Arunachal Pradesh,1988-89,326
Aggregate_Expenditure,Arunachal Pradesh,1989-90,392
Aggregate_Expenditure,Arunachal Pradesh,1990-91,398
Aggregate_Expenditure,Arunachal Pradesh,1991-92,443
Aggregate_Expenditure,Arunachal Pradesh,1992-93,503
Aggregate_Expenditure,Arunachal Pradesh,1993-94,575
Aggregate_Expenditure,Arunachal Pradesh,1994-95,691
Aggregate_Expenditure,Arunachal Pradesh,1995-96,803
Aggregate_Expenditure,Arunachal Pradesh,1996-97,891
Aggregate_Expenditure,Arunachal Pradesh,1997-98,972
Aggregate_Expenditure,Arunachal Pradesh,1998-99,1004
Aggregate_Expenditure,Arunachal Pradesh,1999-00,1098
Aggregate_Expenditure,Arunachal Pradesh,2000-01,1206
Aggregate_Expenditure,Arunachal Pradesh,2001-02,1381
Aggregate_Expenditure,Arunachal Pradesh,2002-03,1363
Aggregate_Expenditure,Arunachal Pradesh,2003-04,2192
Aggregate_Expenditure,Arunachal Pradesh,2004-05,2085
Aggregate_Expenditure,Arunachal Pradesh,2005-06,2437
Aggregate_Expenditure,Arunachal Pradesh,2006-07,2786
Aggregate_Expenditure,Arunachal Pradesh,2007-08,3068
Aggregate_Expenditure,Arunachal Pradesh,2008-09,4273
Aggregate_Expenditure,Arunachal Pradesh,2009-10,5237
Aggregate_Expenditure,Arunachal Pradesh,2010-11,5579
Aggregate_Expenditure,Arunachal Pradesh,2011-12,6665
Aggregate_Expenditure,Arunachal Pradesh,2012-13,6354
Aggregate_Expenditure,Arunachal Pradesh,2013-14,7782
Aggregate_Expenditure,Arunachal Pradesh,2014-15,11483
Aggregate_Expenditure,Arunachal Pradesh,2015-16,12713
Aggregate_Expenditure,Assam,1980-81,758
Aggregate_Expenditure,Assam,1981-82,618
Aggregate_Expenditure,Assam,1982-83,691
Aggregate_Expenditure,Assam,1983-84,942
Aggregate_Expenditure,Assam,1984-85,1165
Aggregate_Expenditure,Assam,1985-86,1207
Aggregate_Expenditure,Assam,1986-87,1586
Aggregate_Expenditure,Assam,1987-88,1794
Aggregate_Expenditure,Assam,1988-89,1855
Aggregate_Expenditure,Assam,1989-90,2266
Aggregate_Expenditure,Assam,1990-91,2689
Aggregate_Expenditure,Assam,1991-92,2763
Aggregate_Expenditure,Assam,1992-93,3136
Aggregate_Expenditure,Assam,1993-94,3620
Aggregate_Expenditure,Assam,1994-95,3998
Aggregate_Expenditure,Assam,1995-96,4390
Aggregate_Expenditure,Assam,1996-97,4267
Aggregate_Expenditure,Assam,1997-98,5022
Aggregate_Expenditure,Assam,1998-99,5204
Aggregate_Expenditure,Assam,1999-00,7086
Aggregate_Expenditure,Assam,2000-01,7631
Aggregate_Expenditure,Assam,2001-02,8550
Aggregate_Expenditure,Assam,2002-03,8936
Aggregate_Expenditure,Assam,2003-04,10596
Aggregate_Expenditure,Assam,2004-05,14745
Aggregate_Expenditure,Assam,2005-06,12088
Aggregate_Expenditure,Assam,2006-07,13485
Aggregate_Expenditure,Assam,2007-08,15150
Aggregate_Expenditure,Assam,2008-09,17486
Aggregate_Expenditure,Assam,2009-10,24968
Aggregate_Expenditure,Assam,2010-11,25947
Aggregate_Expenditure,Assam,2011-12,30269
Aggregate_Expenditure,Assam,2012-13,33748
Aggregate_Expenditure,Assam,2013-14,37178
Aggregate_Expenditure,Assam,2014-15,64980
Aggregate_Expenditure,Assam,2015-16,63602
Aggregate_Expenditure,Bihar,1980-81,1791
Aggregate_Expenditure,Bihar,1981-82,1871
Aggregate_Expenditure,Bihar,1982-83,1940
Aggregate_Expenditure,Bihar,1983-84,2144
Aggregate_Expenditure,Bihar,1984-85,2408
Aggregate_Expenditure,Bihar,1985-86,2966
Aggregate_Expenditure,Bihar,1986-87,3360
Aggregate_Expenditure,Bihar,1987-88,3914
Aggregate_Expenditure,Bihar,1988-89,4324
Aggregate_Expenditure,Bihar,1989-90,5219
Aggregate_Expenditure,Bihar,1990-91,6217
Aggregate_Expenditure,Bihar,1991-92,6805
Aggregate_Expenditure,Bihar,1992-93,7743
Aggregate_Expenditure,Bihar,1993-94,8433
Aggregate_Expenditure,Bihar,1994-95,8555
Aggregate_Expenditure,Bihar,1995-96,9417
Aggregate_Expenditure,Bihar,1996-97,9407
Aggregate_Expenditure,Bihar,1997-98,10216
Aggregate_Expenditure,Bihar,1998-99,12171
Aggregate_Expenditure,Bihar,1999-00,19548
Aggregate_Expenditure,Bihar,2000-01,16946
Aggregate_Expenditure,Bihar,2001-02,14869
Aggregate_Expenditure,Bihar,2002-03,17752
Aggregate_Expenditure,Bihar,2003-04,19134
Aggregate_Expenditure,Bihar,2004-05,20055
Aggregate_Expenditure,Bihar,2005-06,22568
Aggregate_Expenditure,Bihar,2006-07,27136
Aggregate_Expenditure,Bihar,2007-08,31573
Aggregate_Expenditure,Bihar,2008-09,37181
Aggregate_Expenditure,Bihar,2009-10,42796
Aggregate_Expenditure,Bihar,2010-11,50705
