Category,State,Year,Value
Gross_Fiscal_Deficits,Andhra Pradesh ,1980-81,222
Gross_Fiscal_Deficits,Andhra Pradesh ,1981-82,244
Gross_Fiscal_Deficits,Andhra Pradesh ,1982-83,172
Gross_Fiscal_Deficits,Andhra Pradesh ,1983-84,493
Gross_Fiscal_Deficits,Andhra Pradesh ,1984-85,591
Gross_Fiscal_Deficits,Andhra Pradesh ,1985-86,435
Gross_Fiscal_Deficits,Andhra Pradesh ,1986-87,804
Gross_Fiscal_Deficits,Andhra Pradesh ,1987-88,568
Gross_Fiscal_Deficits,Andhra Pradesh ,1988-89,673
Gross_Fiscal_Deficits,Andhra Pradesh ,1989-90,972
Gross_Fiscal_Deficits,Andhra Pradesh ,1990-91,967
Gross_Fiscal_Deficits,Andhra Pradesh ,1991-92,1125
Gross_Fiscal_Deficits,Andhra Pradesh ,1992-93,1569
Gross_Fiscal_Deficits,Andhra Pradesh ,1993-94,1833
Gross_Fiscal_Deficits,Andhra Pradesh ,1994-95,2349
Gross_Fiscal_Deficits,Andhra Pradesh ,1995-96,2417
Gross_Fiscal_Deficits,Andhra Pradesh ,1996-97,2812
Gross_Fiscal_Deficits,Andhra Pradesh ,1997-98,2428
Gross_Fiscal_Deficits,Andhra Pradesh ,1998-99,5706
Gross_Fiscal_Deficits,Andhra Pradesh ,1999-00,4976
Gross_Fiscal_Deficits,Andhra Pradesh ,2000-01,7306
Gross_Fiscal_Deficits,Andhra Pradesh ,2001-02,6723
Gross_Fiscal_Deficits,Andhra Pradesh ,2002-03,7630
Gross_Fiscal_Deficits,Andhra Pradesh ,2003-04,7450
Gross_Fiscal_Deficits,Andhra Pradesh ,2004-05,8190
Gross_Fiscal_Deficits,Andhra Pradesh ,2005-06,8300
Gross_Fiscal_Deficits,Andhra Pradesh ,2006-07,5640
Gross_Fiscal_Deficits,Andhra Pradesh ,2007-08,8790
Gross_Fiscal_Deficits,Andhra Pradesh ,2008-09,12410
Gross_Fiscal_Deficits,Andhra Pradesh ,2009-10,14010
Gross_Fiscal_Deficits,Andhra Pradesh ,2010-11,11800
Gross_Fiscal_Deficits,Andhra Pradesh ,2011-12,15400
Gross_Fiscal_Deficits,Andhra Pradesh ,2012-13,17510
Gross_Fiscal_Deficits,Andhra Pradesh ,2013-14,18040
Gross_Fiscal_Deficits,Andhra Pradesh ,2014-15,20320
Gross_Fiscal_Deficits,Andhra Pradesh ,2015-16,17580
Gross_Fiscal_Deficits,Arunachal Pradesh,1980-81,0
Gross_Fiscal_Deficits,Arunachal Pradesh,1981-82,0
