Category,State,Year,Value
Nominal_GSDP_Series,Andhra Pradesh ,1980-81,8191
Nominal_GSDP_Series,Andhra Pradesh ,1981-82,10041
Nominal_GSDP_Series,Andhra Pradesh ,1982-83,10844
Nominal_GSDP_Series,Andhra Pradesh ,1983-84,12564
Nominal_GSDP_Series,Andhra Pradesh ,1984-85,13576
Nominal_GSDP_Series,Andhra Pradesh ,1985-86,15266
Nominal_GSDP_Series,Andhra Pradesh ,1986-87,16404
Nominal_GSDP_Series,Andhra Pradesh ,1987-88,19608
Nominal_GSDP_Series,Andhra Pradesh ,1988-89,24732
Nominal_GSDP_Series,Andhra Pradesh ,1989-90,28284
Nominal_GSDP_Series,Andhra Pradesh ,1990-91,33336
Nominal_GSDP_Series,Andhra Pradesh ,1991-92,40659
Nominal_GSDP_Series,Andhra Pradesh ,1992-93,44395
Nominal_GSDP_Series,Andhra Pradesh ,1993-94,57867
Nominal_GSDP_Series,Andhra Pradesh ,1994-95,68923
Nominal_GSDP_Series,Andhra Pradesh ,1995-96,79854
Nominal_GSDP_Series,Andhra Pradesh ,1996-97,90147
Nominal_GSDP_Series,Andhra Pradesh ,1997-98,95782
Nominal_GSDP_Series,Andhra Pradesh ,1998-99,114937
Nominal_GSDP_Series,Andhra Pradesh ,1999-00,128797
Nominal_GSDP_Series,Andhra Pradesh ,2000-01,144723
Nominal_GSDP_Series,Andhra Pradesh ,2001-02,156711
Nominal_GSDP_Series,Andhra Pradesh ,2002-03,167096
Nominal_GSDP_Series,Andhra Pradesh ,2003-04,190017
Nominal_GSDP_Series,Andhra Pradesh ,2004-05,134767
Nominal_GSDP_Series,Andhra Pradesh ,2005-06,147606
Nominal_GSDP_Series,Andhra Pradesh ,2006-07,174064
Nominal_GSDP_Series,Andhra Pradesh ,2007-08,212361
Nominal_GSDP_Series,Andhra Pradesh ,2008-09,237383
Nominal_GSDP_Series,Andhra Pradesh ,2009-10,273327
Nominal_GSDP_Series,Andhra Pradesh ,2010-11,319864
Nominal_GSDP_Series,Andhra Pradesh ,2011-12,379230
Nominal_GSDP_Series,Andhra Pradesh ,2012-13,410961
Nominal_GSDP_Series,Andhra Pradesh ,2013-14,468494
Nominal_GSDP_Series,Andhra Pradesh ,2014-15,532922
Nominal_GSDP_Series,Andhra Pradesh ,2015-16,603376
Nominal_GSDP_Series,Arunachal Pradesh,1980-81,107
Nominal_GSDP_Series,Arunachal Pradesh,1981-82,142
