Category,State,Year,Value
Own_Tax_Revenues,Andhra Pradesh ,1980-81,582
Own_Tax_Revenues,Andhra Pradesh ,1981-82,703
Own_Tax_Revenues,Andhra Pradesh ,1982-83,808
Own_Tax_Revenues,Andhra Pradesh ,1983-84,965
Own_Tax_Revenues,Andhra Pradesh ,1984-85,1174
Own_Tax_Revenues,Andhra Pradesh ,1985-86,1439
Own_Tax_Revenues,Andhra Pradesh ,1986-87,1559
Own_Tax_Revenues,Andhra Pradesh ,1987-88,1819
Own_Tax_Revenues,Andhra Pradesh ,1988-89,2122
Own_Tax_Revenues,Andhra Pradesh ,1989-90,2384
Own_Tax_Revenues,Andhra Pradesh ,1990-91,2650
Own_Tax_Revenues,Andhra Pradesh ,1991-92,3060
Own_Tax_Revenues,Andhra Pradesh ,1992-93,3390
Own_Tax_Revenues,Andhra Pradesh ,1993-94,3830
Own_Tax_Revenues,Andhra Pradesh ,1994-95,4230
Own_Tax_Revenues,Andhra Pradesh ,1995-96,4120
Own_Tax_Revenues,Andhra Pradesh ,1996-97,4880
Own_Tax_Revenues,Andhra Pradesh ,1997-98,7110
Own_Tax_Revenues,Andhra Pradesh ,1998-99,7960
Own_Tax_Revenues,Andhra Pradesh ,1999-00,9010
Own_Tax_Revenues,Andhra Pradesh ,2000-01,10550
Own_Tax_Revenues,Andhra Pradesh ,2001-02,12560
Own_Tax_Revenues,Andhra Pradesh ,2002-03,12620
Own_Tax_Revenues,Andhra Pradesh ,2003-04,13810
Own_Tax_Revenues,Andhra Pradesh ,2004-05,16250
Own_Tax_Revenues,Andhra Pradesh ,2005-06,19210
Own_Tax_Revenues,Andhra Pradesh ,2006-07,23930
Own_Tax_Revenues,Andhra Pradesh ,2007-08,28790
Own_Tax_Revenues,Andhra Pradesh ,2008-09,33360
Own_Tax_Revenues,Andhra Pradesh ,2009-10,35180
Own_Tax_Revenues,Andhra Pradesh ,2010-11,45140
Own_Tax_Revenues,Andhra Pradesh ,2011-12,53280
Own_Tax_Revenues,Andhra Pradesh ,2012-13,59880
Own_Tax_Revenues,Andhra Pradesh ,2013-14,64120
Own_Tax_Revenues,Andhra Pradesh ,2014-15,38480
Own_Tax_Revenues,Andhra Pradesh ,2015-16,44420
Own_Tax_Revenues,Arunachal Pradesh,1980-81,0
Own_Tax_Revenues,Arunachal Pradesh,1981-82,0
