Category,State,Year,Value
Revenue_Deficits,Andhra Pradesh ,1980-81,-104
Revenue_Deficits,Andhra Pradesh ,1981-82,-80
Revenue_Deficits,Andhra Pradesh ,1982-83,-132.6
Revenue_Deficits,Andhra Pradesh ,1983-84,88.6
Revenue_Deficits,Andhra Pradesh ,1984-85,169
Revenue_Deficits,Andhra Pradesh ,1985-86,7.3
Revenue_Deficits,Andhra Pradesh ,1986-87,189
Revenue_Deficits,Andhra Pradesh ,1987-88,-37
Revenue_Deficits,Andhra Pradesh ,1988-89,-33
Revenue_Deficits,Andhra Pradesh ,1989-90,238.2
Revenue_Deficits,Andhra Pradesh ,1990-91,157.6
Revenue_Deficits,Andhra Pradesh ,1991-92,169.6
Revenue_Deficits,Andhra Pradesh ,1992-93,123.8
Revenue_Deficits,Andhra Pradesh ,1993-94,-232.3
Revenue_Deficits,Andhra Pradesh ,1994-95,727.8
Revenue_Deficits,Andhra Pradesh ,1995-96,738.9
Revenue_Deficits,Andhra Pradesh ,1996-97,3199.1
Revenue_Deficits,Andhra Pradesh ,1997-98,703.2
Revenue_Deficits,Andhra Pradesh ,1998-99,2684.1
Revenue_Deficits,Andhra Pradesh ,1999-00,1233.3
Revenue_Deficits,Andhra Pradesh ,2000-01,3595.1
Revenue_Deficits,Andhra Pradesh ,2001-02,2881.3
Revenue_Deficits,Andhra Pradesh ,2002-03,3054
Revenue_Deficits,Andhra Pradesh ,2003-04,2962
Revenue_Deficits,Andhra Pradesh ,2004-05,2558
Revenue_Deficits,Andhra Pradesh ,2005-06,64
Revenue_Deficits,Andhra Pradesh ,2006-07,-2807
Revenue_Deficits,Andhra Pradesh ,2007-08,-159
Revenue_Deficits,Andhra Pradesh ,2008-09,-1000
Revenue_Deficits,Andhra Pradesh ,2009-10,-1230
Revenue_Deficits,Andhra Pradesh ,2010-11,-2460
Revenue_Deficits,Andhra Pradesh ,2011-12,-3140
Revenue_Deficits,Andhra Pradesh ,2012-13,-1130
Revenue_Deficits,Andhra Pradesh ,2013-14,-340
Revenue_Deficits,Andhra Pradesh ,2014-15,14240
Revenue_Deficits,Andhra Pradesh ,2015-16,7300
Revenue_Deficits,Arunachal Pradesh,1980-81,0
Revenue_Deficits,Arunachal Pradesh,1981-82,0
Revenue_Deficits,Arunachal Pradesh,1982-83,0
Revenue_Deficits,Arunachal Pradesh,1983-84,0
Revenue_Deficits,Arunachal Pradesh,1984-85,0
Revenue_Deficits,Arunachal Pradesh,1985-86,0
Revenue_Deficits,Arunachal Pradesh,1986-87,-39
Revenue_Deficits,Arunachal Pradesh,1987-88,-50
Revenue_Deficits,Arunachal Pradesh,1988-89,-93
Revenue_Deficits,Arunachal Pradesh,1989-90,-31.6
Revenue_Deficits,Arunachal Pradesh,1990-91,-100.1
Revenue_Deficits,Arunachal Pradesh,1991-92,-158.2
Revenue_Deficits,Arunachal Pradesh,1992-93,-163.2
Revenue_Deficits,Arunachal Pradesh,1993-94,-147.5
Revenue_Deficits,Arunachal Pradesh,1994-95,-166.6
Revenue_Deficits,Arunachal Pradesh,1995-96,-246.5
Revenue_Deficits,Arunachal Pradesh,1996-97,-206.7
Revenue_Deficits,Arunachal Pradesh,1997-98,-172.3
Revenue_Deficits,Arunachal Pradesh,1998-99,-177.1
Revenue_Deficits,Arunachal Pradesh,1999-00,-199
Revenue_Deficits,Arunachal Pradesh,2000-01,-51.9
Revenue_Deficits,Arunachal Pradesh,2001-02,-28
Revenue_Deficits,Arunachal Pradesh,2002-03,-77
Revenue_Deficits,Arunachal Pradesh,2003-04,-184
Revenue_Deficits,Arunachal Pradesh,2004-05,8
Revenue_Deficits,Arunachal Pradesh,2005-06,-182
Revenue_Deficits,Arunachal Pradesh,2006-07,-695
Revenue_Deficits,Arunachal Pradesh,2007-08,-743
Revenue_Deficits,Arunachal Pradesh,2008-09,-980
Revenue_Deficits,Arunachal Pradesh,2009-10,-600
Revenue_Deficits,Arunachal Pradesh,2010-11,-1680
Revenue_Deficits,Arunachal Pradesh,2011-12,-1080
Revenue_Deficits,Arunachal Pradesh,2012-13,-980
Revenue_Deficits,Arunachal Pradesh,2013-14,-90
Revenue_Deficits,Arunachal Pradesh,2014-15,1210
Revenue_Deficits,Arunachal Pradesh,2015-16,-2330
Revenue_Deficits,Assam,1980-81,-165
Revenue_Deficits,Assam,1981-82,36.8
Revenue_Deficits,Assam,1982-83,43.9
Revenue_Deficits,Assam,1983-84,137.2
Revenue_Deficits,Assam,1984-85,135.8
Revenue_Deficits,Assam,1985-86,5.6
Revenue_Deficits,Assam,1986-87,-61
Revenue_Deficits,Assam,1987-88,84
Revenue_Deficits,Assam,1988-89,62.1
Revenue_Deficits,Assam,1989-90,136.7
Revenue_Deficits,Assam,1990-91,143.8
Revenue_Deficits,Assam,1991-92,-269.7
Revenue_Deficits,Assam,1992-93,-162.3
Revenue_Deficits,Assam,1993-94,-416.3
Revenue_Deficits,Assam,1994-95,309.3
Revenue_Deficits,Assam,1995-96,200
Revenue_Deficits,Assam,1996-97,-284.5
Revenue_Deficits,Assam,1997-98,-287.1
