Category,State,Year,Value
Revenue_Expenditure,Andhra Pradesh ,1980-81,1161
Revenue_Expenditure,Andhra Pradesh ,1981-82,1386
Revenue_Expenditure,Andhra Pradesh ,1982-83,1507
Revenue_Expenditure,Andhra Pradesh ,1983-84,2042
Revenue_Expenditure,Andhra Pradesh ,1984-85,2463
Revenue_Expenditure,Andhra Pradesh ,1985-86,2781
Revenue_Expenditure,Andhra Pradesh ,1986-87,3245
Revenue_Expenditure,Andhra Pradesh ,1987-88,3441
Revenue_Expenditure,Andhra Pradesh ,1988-89,4246
Revenue_Expenditure,Andhra Pradesh ,1989-90,4715
Revenue_Expenditure,Andhra Pradesh ,1990-91,5505
Revenue_Expenditure,Andhra Pradesh ,1991-92,6452
Revenue_Expenditure,Andhra Pradesh ,1992-93,7190
Revenue_Expenditure,Andhra Pradesh ,1993-94,8018
Revenue_Expenditure,Andhra Pradesh ,1994-95,9514
Revenue_Expenditure,Andhra Pradesh ,1995-96,10614
Revenue_Expenditure,Andhra Pradesh ,1996-97,14392
Revenue_Expenditure,Andhra Pradesh ,1997-98,14544
Revenue_Expenditure,Andhra Pradesh ,1998-99,16944
Revenue_Expenditure,Andhra Pradesh ,1999-00,18038
Revenue_Expenditure,Andhra Pradesh ,2000-01,23070
Revenue_Expenditure,Andhra Pradesh ,2001-02,24726
Revenue_Expenditure,Andhra Pradesh ,2002-03,26057
Revenue_Expenditure,Andhra Pradesh ,2003-04,29830
Revenue_Expenditure,Andhra Pradesh ,2004-05,31307
Revenue_Expenditure,Andhra Pradesh ,2005-06,34915
Revenue_Expenditure,Andhra Pradesh ,2006-07,41438
Revenue_Expenditure,Andhra Pradesh ,2007-08,53984
Revenue_Expenditure,Andhra Pradesh ,2008-09,61854
Revenue_Expenditure,Andhra Pradesh ,2009-10,63448
Revenue_Expenditure,Andhra Pradesh ,2010-11,78534
Revenue_Expenditure,Andhra Pradesh ,2011-12,90415
Revenue_Expenditure,Andhra Pradesh ,2012-13,102702
Revenue_Expenditure,Andhra Pradesh ,2013-14,110374
Revenue_Expenditure,Andhra Pradesh ,2014-15,98309
Revenue_Expenditure,Andhra Pradesh ,2015-16,97425
Revenue_Expenditure,Arunachal Pradesh,1980-81,0
Revenue_Expenditure,Arunachal Pradesh,1981-82,0
Revenue_Expenditure,Arunachal Pradesh,1982-83,0
Revenue_Expenditure,Arunachal Pradesh,1983-84,0
Revenue_Expenditure,Arunachal Pradesh,1984-85,0
Revenue_Expenditure,Arunachal Pradesh,1985-86,0
Revenue_Expenditure,Arunachal Pradesh,1986-87,173
Revenue_Expenditure,Arunachal Pradesh,1987-88,246
Revenue_Expenditure,Arunachal Pradesh,1988-89,214
