Category,State,Year,Value
Social_Sector_Expenditure,Andhra Pradesh ,1980-81,532
Social_Sector_Expenditure,Andhra Pradesh ,1981-82,613
Social_Sector_Expenditure,Andhra Pradesh ,1982-83,697
Social_Sector_Expenditure,Andhra Pradesh ,1983-84,1073
Social_Sector_Expenditure,Andhra Pradesh ,1984-85,1193
Social_Sector_Expenditure,Andhra Pradesh ,1985-86,1470
Social_Sector_Expenditure,Andhra Pradesh ,1986-87,1849
Social_Sector_Expenditure,Andhra Pradesh ,1987-88,1884
Social_Sector_Expenditure,Andhra Pradesh ,1988-89,2103
Social_Sector_Expenditure,Andhra Pradesh ,1989-90,2387
Social_Sector_Expenditure,Andhra Pradesh ,1990-91,2741
Social_Sector_Expenditure,Andhra Pradesh ,1991-92,3121
Social_Sector_Expenditure,Andhra Pradesh ,1992-93,3662
Social_Sector_Expenditure,Andhra Pradesh ,1993-94,3919
Social_Sector_Expenditure,Andhra Pradesh ,1994-95,4265
Social_Sector_Expenditure,Andhra Pradesh ,1995-96,5507
Social_Sector_Expenditure,Andhra Pradesh ,1996-97,6284
Social_Sector_Expenditure,Andhra Pradesh ,1997-98,6759
Social_Sector_Expenditure,Andhra Pradesh ,1998-99,8927
Social_Sector_Expenditure,Andhra Pradesh ,1999-00,8831
Social_Sector_Expenditure,Andhra Pradesh ,2000-01,10006
Social_Sector_Expenditure,Andhra Pradesh ,2001-02,10876
Social_Sector_Expenditure,Andhra Pradesh ,2002-03,11179
Social_Sector_Expenditure,Andhra Pradesh ,2003-04,13367
Social_Sector_Expenditure,Andhra Pradesh ,2004-05,13821
Social_Sector_Expenditure,Andhra Pradesh ,2005-06,14900
Social_Sector_Expenditure,Andhra Pradesh ,2006-07,18654
Social_Sector_Expenditure,Andhra Pradesh ,2007-08,24471
Social_Sector_Expenditure,Andhra Pradesh ,2008-09,31440
Social_Sector_Expenditure,Andhra Pradesh ,2009-10,30280
Social_Sector_Expenditure,Andhra Pradesh ,2010-11,39130
Social_Sector_Expenditure,Andhra Pradesh ,2011-12,45400
Social_Sector_Expenditure,Andhra Pradesh ,2012-13,49440
Social_Sector_Expenditure,Andhra Pradesh ,2013-14,53740
Social_Sector_Expenditure,Andhra Pradesh ,2014-15,46150
Social_Sector_Expenditure,Andhra Pradesh ,2015-16,52450
Social_Sector_Expenditure,Arunachal Pradesh,1980-81,0
Social_Sector_Expenditure,Arunachal Pradesh,1981-82,0
